service_id,user_loc,plan_cpu,plan_mem,plan_disk,submit_time,duration,e2e_latency,e2e_reliability
372,387,8,0.169637357,0.056808536,748,4,50,
373,621,16,0.169637357,0.113617073,748,92,15,
374,76,4,0.042409339,0.034085122,748,92,50,
375,591,8,0.084818678,0.068170244,748,119,5,
376,868,4,0.042409339,0.034085122,748,77,10000,
377,606,4,0.042409339,0.034085122,748,1,10,
378,858,4,0.042409339,0.034085122,763,300.7142857,10,
379,163,4,0.042409339,0.034085122,763,3.452380952,15,
380,297,8,0.084818678,0.056808536,763,13,10000,
381,1293,16,0.169637357,0.113617073,779,74.23577236,50,
382,742,4,0.042409339,0.034085122,779,44,100,
383,892,4,0.042409339,0.034085122,779,24.09610984,10000,
384,334,4,0.042409339,0.034085122,793,60.12030075,10000,
385,861,4,0.042409339,0.034085122,793,120.7604563,100,
386,185,8,0.169637357,0.056808536,799,92.20522388,10000,
387,1252,8,0.084818678,0.085212805,799,516.4510309,10000,
388,953,4,0.042409339,0.034085122,800,5.697802198,100,
389,1071,8,0.084818678,0.056808536,800,21.2195122,100,
390,1036,4,0.042409339,0.034085122,800,26.77235772,15,
391,318,4,0.042409339,0.034085122,800,33.83739837,10000,
392,335,4,0.042409339,0.034085122,802,49.43548387,10000,
393,154,4,0.042409339,0.034085122,802,3,15,
394,318,4,0.042409339,0.034085122,812,9,10000,
395,763,8,0.084818678,0.056808536,812,12.33333333,10000,
396,1257,8,0.084818678,0.056808536,812,11,10,
397,1132,8,0.084818678,0.056808536,812,11,10000,
398,1278,16,0.169637357,0.113617073,813,82,10000,
399,69,4,0.042409339,0.034085122,824,195.4840183,15,
400,647,4,0.042409339,0.034085122,824,55.58823529,10000,
401,1152,4,0.042409339,0.034085122,824,50.65217391,10000,
402,1238,4,0.042409339,0.034085122,824,25.05238095,5,
403,798,4,0.042409339,0.034085122,824,112.1428571,10000,
404,231,8,0.084818678,0.056808536,833,25,10000,
405,846,8,0.084818678,0.056808536,833,68.93069307,10000,
406,1099,8,0.169637357,0.056808536,833,2,100,
407,1233,4,0.042409339,0.034085122,833,26.19191919,15,
408,599,8,0.084818678,0.068170244,833,153,50,
409,195,4,0.042409339,0.034085122,833,154,10,
410,129,8,0.084818678,0.034085122,833,36,10000,
411,791,4,0.042409339,0.034085122,870,3,10000,
412,557,4,0.042409339,0.034085122,870,1,10,
413,827,4,0.042409339,0.034085122,870,2,10000,
414,877,16,0.318070044,0.113617073,870,1,50,
415,784,4,0.042409339,0.034085122,870,3,10000,
416,907,16,0.169637357,0.113617073,898,40.5,50,
417,697,8,0.169637357,0.056808536,898,63.81818182,15,
418,674,4,0.042409339,0.034085122,906,3.4,15,
419,1158,8,0.084818678,0.056808536,906,2,10000,
420,374,8,0.084818678,0.056808536,906,2,10000,
421,606,4,0.042409339,0.034085122,906,2,10000,
422,931,4,0.042409339,0.034085122,906,2,5,
423,293,4,0.042409339,0.034085122,906,1,10,
424,1132,8,0.084818678,0.056808536,906,4,10000,
425,893,4,0.042409339,0.034085122,906,2,10,
426,890,4,0.042409339,0.034085122,906,2,10000,
427,1204,4,0.042409339,0.034085122,906,2,10000,
428,1160,8,0.084818678,0.056808536,911,1,5,
429,1180,4,0.042409339,0.034085122,911,3,10000,
430,809,8,0.084818678,0.085212805,911,3,10000,
431,3,4,0.042409339,0.034085122,911,3.333333333,100,
432,1291,4,0.042409339,0.034085122,911,2.333333333,100,
433,830,8,0.084818678,0.056808536,911,2,10,
434,387,8,0.084818678,0.056808536,911,1,5,
435,582,4,0.042409339,0.034085122,911,2,10000,
436,587,8,0.169637357,0.056808536,911,3,5,
437,608,4,0.042409339,0.034085122,911,3,10000,
438,1239,8,0.084818678,0.056808536,938,2,10000,
439,884,4,0.042409339,0.034085122,938,2,10000,
440,259,4,0.042409339,0.034085122,938,2,10000,
441,270,8,0.084818678,0.056808536,938,1,10000,
442,673,4,0.042409339,0.034085122,938,2,10000,
443,791,8,0.084818678,0.068170244,938,3,10000,
444,1194,8,0.084818678,0.056808536,938,2,10000,
445,154,4,0.042409339,0.034085122,938,2.333333333,10000,
446,926,4,0.042409339,0.034085122,938,3.142857143,10000,
447,357,4,0.042409339,0.034085122,960,46.21935484,10000,
448,747,8,0.084818678,0.056808536,960,126.0943396,10000,
449,700,4,0.042409339,0.034085122,975,2.2,10000,
450,611,8,0.084818678,0.056808536,975,1,5,
451,1246,4,0.042409339,0.034085122,975,2,10000,
452,655,8,0.084818678,0.056808536,975,1,50,
453,195,4,0.042409339,0.034085122,975,2,10000,
454,856,8,0.084818678,0.056808536,975,2,10,
455,251,4,0.042409339,0.034085122,975,2,15,
456,1268,8,0.084818678,0.056808536,975,3,10,
457,912,8,0.084818678,0.085212805,982,2,50,
458,1117,8,0.084818678,0.056808536,982,1,5,
459,1107,8,0.084818678,0.085212805,982,2,50,
460,854,16,0.318070044,0.113617073,982,2,10000,
461,211,4,0.042409339,0.034085122,982,3,50,
462,1244,4,0.042409339,0.034085122,982,3,10000,
463,820,4,0.042409339,0.034085122,982,3.818181818,10000,
464,829,4,0.042409339,0.034085122,982,2,10,
465,253,4,0.042409339,0.034085122,982,3,10000,
466,324,4,0.042409339,0.034085122,982,2,10000,
467,115,8,0.084818678,0.056808536,982,3,10000,
468,1224,8,0.084818678,0.056808536,1004,53.22945205,10000,
469,941,4,0.042409339,0.034085122,1004,100.0594796,100,
470,36,4,0.042409339,0.034085122,1004,122,10000,
471,98,16,0.318070044,0.113617073,1013,58.05405405,100,
472,664,8,0.084818678,0.085212805,1013,68.83629893,10000,
473,1110,8,0.084818678,0.056808536,1013,71.33333333,10000,
474,1155,8,0.084818678,0.056808536,1020,7,5,
475,1133,6,0.042409339,0.034085122,1020,9.265306122,10000,
476,729,8,0.084818678,0.056808536,1020,37.12371134,10000,
477,273,4,0.042409339,0.034085122,1020,6,10000,
478,1235,4,0.042409339,0.034085122,1020,4,10000,
479,1196,8,0.084818678,0.056808536,1020,4,10,
480,563,4,0.042409339,0.034085122,1020,5,10,
481,807,4,0.042409339,0.034085122,1020,36.78688525,10000,
482,1110,8,0.084818678,0.056808536,1020,9.135135135,100,
483,795,16,0.169637357,0.113617073,1020,7.238095238,10000,
484,783,8,0.084818678,0.056808536,1020,32.7,50,
485,335,8,0.084818678,0.056808536,1020,2,5,
486,1247,4,0.042409339,0.034085122,1020,2,10000,
487,912,8,0.084818678,0.056808536,1020,1,10000,
488,1252,4,0.042409339,0.034085122,1020,1,10000,
489,189,8,0.084818678,0.056808536,1020,2,10000,
490,928,4,0.042409339,0.034085122,1020,2.666666667,50,
491,1291,4,0.042409339,0.056808536,1020,5,15,
492,952,4,0.042409339,0.034085122,1020,3,10,
493,1052,8,0.084818678,0.056808536,1020,3,15,
494,18,16,0.318070044,0.113617073,1020,1,10000,
495,1167,4,0.042409339,0.034085122,1020,5,10000,
496,1109,4,0.042409339,0.034085122,1020,5.142857143,10000,
497,605,4,0.042409339,0.034085122,1024,104.826087,10000,
498,613,4,0.042409339,0.034085122,1024,150.8604651,10000,
499,752,4,0.042409339,0.034085122,1029,95.13043478,10000,
500,659,4,0.042409339,0.034085122,1029,35.18181818,10000,
501,598,4,0.042409339,0.034085122,1029,60.5,15,
502,1053,8,0.084818678,0.056808536,1029,77.54545455,10000,
503,659,8,0.084818678,0.056808536,1029,100,10000,
504,72,16,0.318070044,0.113617073,1034,57.46232877,10000,
505,42,4,0.042409339,0.034085122,1034,208.802974,10000,
506,189,8,0.084818678,0.056808536,1034,284,100,
507,755,8,0.084818678,0.068170244,1037,59.09931507,10000,
508,1031,4,0.042409339,0.034085122,1037,170.472119,10000,
509,385,8,0.169637357,0.056808536,1037,312,100,
510,606,8,0.084818678,0.068170244,1040,55.03767123,50,
511,131,8,0.127228017,0.085212805,1040,98.26765799,10000,
512,715,4,0.042409339,0.034085122,1040,126,100,
513,895,4,0.042409339,0.034085122,1040,23,5,
514,109,4,0.042409339,0.034085122,1040,1,10000,
515,1160,8,0.084818678,0.056808536,1040,11,10,
516,1170,4,0.042409339,0.034085122,1040,1,50,
517,840,8,0.084818678,0.056808536,1040,23,100,
