service_id,edge_id,plan_cpu,plan_mem,plan_disk,submit_time,duration,sla
352,80,4,0.042409339,0.034085122,680,19,
353,843,4,0.042409339,0.034085122,680,17.9248497,
354,117,8,0.084818678,0.045446829,686,174.3351303,
355,656,4,0.042409339,0.034085122,688,34.0877193,
356,252,8,0.084818678,0.056808536,688,78.59541985,
357,1037,8,0.084818678,0.085212805,688,90.76296296,
358,839,8,0.084818678,0.056808536,708,1.64893617,
359,398,4,0.042409339,0.034085122,708,10,
360,1243,8,0.084818678,0.045446829,712,3.085106383,
361,641,4,0.042409339,0.034085122,712,84,
362,1185,4,0.042409339,0.034085122,716,1.723404255,
363,1253,4,0.042409339,0.034085122,716,5,
364,341,4,0.042409339,0.034085122,743,7.75,
365,619,8,0.169637357,0.056808536,743,146,
366,670,4,0.042409339,0.034085122,748,120,
367,737,8,0.084818678,0.056808536,748,2,
368,298,8,0.084818678,0.056808536,748,117,
369,1245,4,0.042409339,0.034085122,748,74,
370,1236,4,0.042409339,0.034085122,748,1,
371,341,4,0.042409339,0.034085122,748,4,
372,387,8,0.169637357,0.056808536,748,4,
373,621,16,0.169637357,0.113617073,748,92,
374,76,4,0.042409339,0.034085122,748,92,
375,591,8,0.084818678,0.068170244,748,119,
376,868,4,0.042409339,0.034085122,748,77,
377,606,4,0.042409339,0.034085122,748,1,
378,858,4,0.042409339,0.034085122,763,300.7142857,
379,163,4,0.042409339,0.034085122,763,3.452380952,
380,297,8,0.084818678,0.056808536,763,13,
381,1293,16,0.169637357,0.113617073,779,74.23577236,
382,742,4,0.042409339,0.034085122,779,44,
383,892,4,0.042409339,0.034085122,779,24.09610984,
384,334,4,0.042409339,0.034085122,793,60.12030075,
385,861,4,0.042409339,0.034085122,793,120.7604563,
386,185,8,0.169637357,0.056808536,799,92.20522388,
387,1252,8,0.084818678,0.085212805,799,516.4510309,
388,953,4,0.042409339,0.034085122,800,5.697802198,
389,1071,8,0.084818678,0.056808536,800,21.2195122,
390,1036,4,0.042409339,0.034085122,800,26.77235772,
391,318,4,0.042409339,0.034085122,800,33.83739837,
392,335,4,0.042409339,0.034085122,802,49.43548387,
393,154,4,0.042409339,0.034085122,802,3,
394,318,4,0.042409339,0.034085122,812,9,
395,763,8,0.084818678,0.056808536,812,12.33333333,
396,1257,8,0.084818678,0.056808536,812,11,
397,1132,8,0.084818678,0.056808536,812,11,
398,1278,16,0.169637357,0.113617073,813,82,
399,69,4,0.042409339,0.034085122,824,195.4840183,
400,647,4,0.042409339,0.034085122,824,55.58823529,
401,1152,4,0.042409339,0.034085122,824,50.65217391,
402,1238,4,0.042409339,0.034085122,824,25.05238095,
403,798,4,0.042409339,0.034085122,824,112.1428571,
404,231,8,0.084818678,0.056808536,833,25,
405,846,8,0.084818678,0.056808536,833,68.93069307,
406,1099,8,0.169637357,0.056808536,833,2,
407,1233,4,0.042409339,0.034085122,833,26.19191919,
408,599,8,0.084818678,0.068170244,833,153,
409,195,4,0.042409339,0.034085122,833,154,
410,129,8,0.084818678,0.034085122,833,36,
411,791,4,0.042409339,0.034085122,870,3,
412,557,4,0.042409339,0.034085122,870,1,
413,827,4,0.042409339,0.034085122,870,2,
414,877,16,0.318070044,0.113617073,870,1,
415,784,4,0.042409339,0.034085122,870,3,
416,907,16,0.169637357,0.113617073,898,40.5,
417,697,8,0.169637357,0.056808536,898,63.81818182,
418,674,4,0.042409339,0.034085122,906,3.4,
419,1158,8,0.084818678,0.056808536,906,2,
420,374,8,0.084818678,0.056808536,906,2,
421,606,4,0.042409339,0.034085122,906,2,
